#{"t_start": 1682367162.4784052, "env_id": null}
r,l,t,current_date,agent_id
87.263336,20,21.877654,2017-07-18,9
29.10667,23,23.74021,2017-06-16,11
174.66998,26,25.904845,2017-07-05,21
139.21669,26,25.906595,2018-03-20,23
118.96,27,27.028138,2017-10-04,5
104.33,27,27.028214,2018-04-06,26
97.58333,28,27.980602,2018-04-10,25
64.33666,29,28.693887,2018-03-09,16
180.07335,31,30.023441,2017-06-11,24
125.35335,32,30.945406,2018-02-22,2
60.68666,32,30.945484,2018-07-22,7
93.423325,32,30.945501,2017-11-15,17
78.49667,32,30.945513,2017-07-15,27
90.40333,33,31.674048,2017-11-27,4
74.63,34,32.501756,2017-09-10,12
116.39668,34,32.501843,2018-08-17,22
59.5,34,32.501861,2018-02-21,30
34.93,35,33.511281,2018-04-11,1
99.72,35,33.513362,2018-04-28,14
109.03001,35,33.513411,2018-08-28,15
50.879993,36,34.570375,2018-08-24,3
109.44,36,34.570468,2018-04-21,28
165.30666,36,34.570488,2018-07-02,31
50.253338,37,35.327554,2018-08-26,13
103.46335,37,35.327632,2017-06-09,20
108.110016,38,36.099461,2017-11-14,8
125.326675,42,38.589361,2017-12-13,18
83.31,42,38.589467,2017-08-29,19
94.75665,43,39.186893,2017-05-22,6
61.55,45,40.488602,2017-09-01,0
134.02666,50,43.543988,2017-10-25,10
110.60334,29,45.005787,2018-03-03,11
64.079994,24,45.007867,2018-03-27,25
30.419996,34,46.514288,2018-01-01,9
71.79,29,47.123509,2017-09-16,23
147.02,22,48.57651,2018-06-25,14
90.689995,31,48.576587,2017-09-15,21
-6.8066673,27,49.374736,2018-04-03,24
145.71333,28,50.878824,2018-07-15,2
46.006664,28,51.849242,2018-04-12,4
64.65,34,51.849321,2018-06-16,5
-0.2899997,61,51.84934,2017-09-06,29
82.82,30,52.804264,2017-11-11,7
71.84,35,52.804342,2018-07-19,26
89.40667,26,52.80436,2017-10-15,31
73.90666,31,53.70935,2018-07-24,17
127.27,24,55.80273,2017-07-26,18
136.43332,34,55.802824,2017-12-11,27
39.039997,31,56.532277,2018-07-10,3
134.54666,33,57.445101,2018-04-07,1
82.130005,30,57.44518,2018-06-21,8
75.13666,34,57.445197,2018-04-12,12
124.22666,31,57.44521,2017-06-15,20
83.65,32,57.44522,2017-12-22,28
127.04667,25,58.944336,2018-07-31,0
130.24002,33,58.944416,2017-10-23,13
155.09335,42,59.599194,2017-06-23,16
123.21336,32,61.501539,2017-06-09,19
67.20333,32,62.656133,2017-07-12,6
11.34,23,62.65621,2018-05-30,11
135.54333,41,62.656228,2017-07-07,30
24.083336,28,64.593413,2018-02-13,10
118.12668,44,65.198687,2017-12-22,15
67.766655,46,65.917407,2017-09-18,22
106.36,22,67.902399,2018-07-25,29
130.34668,29,68.74402,2017-07-24,23
148.48001,32,68.744097,2017-12-10,25
136.62334,26,70.62968,2017-07-01,4
94.990005,32,72.110204,2017-11-30,14
97.8,28,73.050459,2018-07-26,31
60.106663,37,73.937097,2018-08-22,9
105.03333,34,73.937174,2017-10-08,21
112.36667,30,75.381306,2017-12-13,17
13.36,35,75.381404,2017-09-18,24
123.74335,31,75.381426,2018-07-16,26
104.44334,33,76.929572,2018-07-20,7
93.08333,27,76.929651,2018-06-12,12
69.95667,35,77.795443,2018-04-14,5
100.619995,30,77.795522,2017-07-31,18
123.29333,30,79.133322,2017-08-11,20
76.310005,30,79.133427,2017-09-13,28
123.65,29,79.925178,2018-05-05,0
152.76334,32,79.925273,2017-09-30,3
56.066654,40,80.57272,2018-01-18,2
101.776665,35,81.36864,2018-08-22,27
61.593334,34,82.115373,2018-02-01,1
56.676655,31,82.115446,2018-02-25,16
5.4033327,35,83.019593,2017-09-08,8
101.01332,28,83.019665,2018-07-17,11
139.12997,35,84.604484,2018-03-13,13
80.770004,27,85.33733,2017-05-27,15
111.12666,32,87.660405,2017-06-04,10
195.52333,36,88.403206,2017-08-04,30
67.04,37,89.373796,2018-04-24,6
96.86667,30,90.756086,2018-08-18,25
59.71668,35,91.380292,2017-11-04,22
52.25999,23,92.119812,2017-10-20,17
172.38002,43,92.790755,2018-07-14,19
146.5,34,92.790856,2017-06-02,29
45.05,27,93.555412,2017-12-05,9
99.566666,25,93.555485,2017-12-10,26
112.09001,25,94.966765,2017-11-20,7
158.28667,36,94.966892,2018-03-14,23
112.37333,35,96.476985,2018-05-29,4
81.39,32,96.477093,2018-06-20,31
156.2,35,97.851308,2018-07-14,14
78.87999,26,98.560265,2018-06-06,3
132.89333,30,99.556484,2018-02-10,5
95.39667,31,99.556581,2018-02-17,12
91.73667,30,99.556601,2018-06-20,18
68.770004,33,99.556614,2017-07-12,24
66.09333,29,101.612261,2017-11-11,2
129.41998,38,101.612344,2017-12-23,21
83.70666,31,102.463997,2018-02-16,0
18.346668,32,102.464078,2018-02-26,28
8.500002,29,103.329751,2018-03-23,1
95.263336,29,105.384515,2018-08-21,13
101.05332,37,106.22714,2018-06-19,20
62.406673,35,107.508725,2017-06-16,16
73.67335,35,108.252967,2018-03-07,8
65.88667,36,109.024383,2018-01-28,11
-17.763336,38,109.024462,2017-09-06,27
98.78,31,111.09109,2018-05-14,30
113.41668,38,112.633899,2018-07-02,15
49.896675,28,113.964473,2017-06-07,9
104.75,37,114.554968,2017-10-20,10
82.45999,37,116.246992,2018-08-17,6
93.496666,31,117.780802,2018-01-21,7
104.10335,37,117.780882,2017-05-29,25
59.84,26,118.569131,2017-08-02,5
112.70332,26,118.569211,2017-06-14,12
61.59,32,118.569229,2017-12-21,23
134.32332,34,118.569241,2018-01-13,26
159.09999,38,119.982995,2018-05-20,17
103.829994,26,120.801173,2017-07-20,2
124.23669,40,120.801255,2017-07-15,22
70.253334,39,121.566836,2017-06-07,19
120.23,26,121.566913,2018-04-03,28
129.33667,35,122.560965,2018-08-07,4
141.67332,27,123.258905,2018-02-23,1
109.77665,32,123.259,2018-06-25,18
119.15333,32,123.259019,2017-09-21,24
114.743355,41,123.259033,2017-07-16,29
117.61332,35,123.95523,2018-01-12,14
126.06668,37,125.804777,2017-06-23,3
53.093327,29,126.726745,2018-06-07,13
91.75334,41,126.726854,2018-02-18,31
159.96667,28,129.015615,2017-10-01,8
53.809986,37,129.015694,2018-04-25,21
113.47668,32,131.196708,2018-06-24,16
48.519993,34,131.196801,2017-09-14,20
144.20334,30,133.466334,2017-12-30,30
101.91334,23,135.108134,2018-06-19,25
94.40665,35,135.108235,2017-08-20,27
74.72666,31,137.730998,2017-08-16,10
45.633335,39,137.73117,2017-11-27,11
116.30667,23,138.510669,2017-07-20,28
41.78333,28,139.205111,2018-01-17,26
8.403329,52,140.578383,2017-09-05,0
54.083336,32,141.53538,2018-05-27,7
87.28333,31,141.535457,2018-04-14,23
157.48337,26,142.332502,2017-07-19,1
132.3967,32,142.332582,2017-11-17,5
152.92667,33,143.221574,2018-01-02,12
114.86667,27,143.221654,2017-07-01,29
136.60333,29,143.97085,2018-06-29,4
99.98334,42,143.970924,2017-08-09,15
49.526657,42,145.471416,2018-07-01,9
52.053333,35,146.790123,2018-03-25,22
104.33666,32,146.790201,2017-12-13,24
154.26668,42,147.668764,2018-05-04,6
129.06668,36,148.562916,2017-11-13,19
120.783325,29,148.563022,2018-06-18,31
73.956665,38,149.427615,2018-06-13,2
152.98001,39,149.427694,2017-12-15,17
70.37,31,150.257631,2017-06-20,13
132.1,35,150.257727,2017-09-21,14
122.51667,33,151.125578,2017-08-25,3
43.026665,40,152.900213,2017-08-29,18
101.49999,33,153.608107,2017-07-31,8
128.32666,26,156.752577,2017-10-19,11
28.830006,39,157.474754,2018-03-06,21
154.03334,31,157.474836,2018-05-04,25
101.866684,24,158.832773,2017-11-22,23
60.773327,22,159.655735,2017-10-15,4
109.25667,36,159.655835,2018-04-12,30
144.83333,35,160.739353,2018-08-04,27
111.166664,32,161.770588,2018-07-08,10
112.649994,41,161.77069,2018-07-01,16
87.75,26,162.413929,2018-03-14,29
105.24334,28,163.193884,2018-04-23,5
176.71667,25,164.185638,2017-12-30,9
118.01666,34,164.185724,2018-06-10,28
119.09668,30,165.598094,2018-04-07,12
117.413345,46,165.598189,2018-02-13,20
116.52,26,167.352482,2017-06-25,19
39.459995,37,169.015461,2018-06-22,7
63.206665,26,169.015539,2017-10-11,14
115.24,27,169.015555,2018-03-27,17
141.48003,40,169.015567,2017-10-25,26
13.886667,37,169.753336,2017-06-07,1
174.28,28,169.753431,2017-08-26,2
91.95667,24,171.05753,2018-01-06,8
92.240005,33,171.057611,2017-08-15,22
152.02664,42,172.043303,2017-08-01,0
39.806664,30,172.043382,2018-08-10,13
132.77666,39,172.925553,2017-09-19,15
90.77,33,172.925632,2018-04-10,31
151.70001,35,173.90985,2018-07-28,6
152.22337,36,173.909928,2017-08-09,24
145.75,34,176.094984,2018-08-10,3
142.88,34,177.864124,2017-08-02,18
84.466675,27,179.887145,2017-12-11,4
151.69667,33,181.413736,2018-04-06,11
22.086666,22,181.413814,2018-03-30,12
62.666664,14,182.383373,2018-03-29,13
143.76334,28,182.383453,2018-07-15,16
62.603325,31,182.383471,2018-02-08,23
118.81334,29,183.470508,2018-07-12,10
104.126656,34,183.470587,2017-06-08,21
72.28002,37,185.364661,2017-06-26,25
124.81666,32,185.997351,2017-06-09,29
74.92667,35,186.783404,2018-06-30,27
179.09665,32,187.784933,2018-08-01,9
136.95,34,188.623228,2017-06-14,5
141.33002,28,188.623317,2017-09-22,19
124.80001,33,188.623339,2018-08-01,28
162.44666,32,189.232217,2017-07-19,20
136.9067,25,190.059854,2017-07-31,8
77.52666,40,190.059954,2017-12-15,30
180.62668,31,192.2859,2018-08-18,7
100.543335,31,193.134872,2017-08-14,2
69.96334,27,194.031012,2018-04-07,6
143.35667,33,194.031089,2017-06-15,26
147.43332,30,194.704272,2017-11-26,0
142.77664,34,195.639392,2018-03-25,1
83.520004,35,195.639501,2017-07-18,17
118.61001,30,195.639535,2018-04-08,31
54.02667,32,197.038524,2017-08-28,15
85.99333,35,199.941793,2018-05-03,24
166.24667,23,200.927049,2018-08-18,10
72.200005,42,200.927127,2018-01-10,14
96.08666,24,201.86184,2018-02-02,21
72.94333,27,203.228272,2017-06-28,13
131.87665,31,205.284642,2018-06-17,12
23.463331,25,205.284742,2017-12-31,29
89.61667,40,205.986934,2017-12-21,3
49.82666,26,207.96265,2018-03-16,19
124.11335,49,207.962727,2017-07-09,22
98.43,27,208.614703,2017-07-20,5
102.47333,39,209.667315,2018-05-06,4
124.88999,36,209.667414,2018-01-21,16
94.15667,28,209.667433,2017-09-16,28
86.55334,38,210.496104,2018-06-09,11
